Team1,Team2,Winner,Margin,Ground,Date,Scorecard
Netherlands,Pakistan,Pakistan,82 runs,Lord's,"Jun 9, 2009",T20I # 98
Australia,Sri Lanka,Sri Lanka,6 wickets,Nottingham,"Jun 8, 2009",T20I # 97
Bangladesh,Ireland,Ireland,6 wickets,Nottingham,"Jun 8, 2009",T20I # 96
England,Pakistan,England,48 runs,The Oval,"Jun 7, 2009",T20I # 95
Scotland,South Africa,South Africa,130 runs,The Oval,"Jun 7, 2009",T20I # 94
Bangladesh,India,India,25 runs,Nottingham,"Jun 6, 2009",T20I # 93
Australia,West Indies,West Indies,7 wickets,The Oval,"Jun 6, 2009",T20I # 92
New Zealand,Scotland,New Zealand,7 wickets,The Oval,"Jun 6, 2009",T20I # 91
England,Netherlands,Netherlands,4 wickets,Lord's,"Jun 5, 2009",T20I # 90
Australia,Pakistan,Pakistan,7 wickets,Dubai (DICS),"May 7, 2009",T20I # 89
South Africa,Australia,South Africa,17 runs,Centurion,"Mar 29, 2009",T20I # 88
South Africa,Australia,South Africa,4 wickets,Johannesburg,"Mar 27, 2009",T20I # 87
West Indies,England,West Indies,6 wickets,Port of Spain,"Mar 15, 2009",T20I # 86
New Zealand,India,New Zealand,5 wickets,Wellington,"Feb 27, 2009",T20I # 85
New Zealand,India,New Zealand,7 wickets,Christchurch,"Feb 25, 2009",T20I # 84
Australia,New Zealand,Australia,1 run,Sydney,"Feb 15, 2009",T20I # 83
Sri Lanka,India,India,3 wickets,Colombo (RPS),"Feb 10, 2009",T20I # 82
Australia,South Africa,Australia,6 wickets,Brisbane,"Jan 13, 2009",T20I # 81
Australia,South Africa,Australia,52 runs,Melbourne,"Jan 11, 2009",T20I # 80
New Zealand,Pakistan,Pakistan,103 runs,Christchurch,"Dec 30, 2010",T20I # 195
New Zealand,Pakistan,New Zealand,39 runs,Hamilton,"Dec 28, 2010",T20I # 194
New Zealand,Pakistan,New Zealand,5 wickets,Auckland,"Dec 26, 2010",T20I # 193
Australia,Sri Lanka,Sri Lanka,7 wickets,Perth,"Oct 31, 2010",T20I # 192
Pakistan,South Africa,South Africa,6 wickets,Abu Dhabi,"Oct 27, 2010",T20I # 191
Pakistan,South Africa,South Africa,6 wickets,Abu Dhabi,"Oct 26, 2010",T20I # 190
South Africa,Zimbabwe,South Africa,8 runs,Kimberley,"Oct 10, 2010",T20I # 189
South Africa,Zimbabwe,South Africa,7 wickets,Bloemfontein,"Oct 8, 2010",T20I # 188
England,Pakistan,England,6 wickets,Cardiff,"Sep 7, 2010",T20I # 187
England,Pakistan,England,5 wickets,Cardiff,"Sep 5, 2010",T20I # 186
Australia,Pakistan,Pakistan,11 runs,Birmingham,"Jul 6, 2010",T20I # 185
Australia,Pakistan,Pakistan,23 runs,Birmingham,"Jul 5, 2010",T20I # 184
Zimbabwe,India,India,7 wickets,Harare,"Jun 13, 2010",T20I # 183
Zimbabwe,India,India,6 wickets,Harare,"Jun 12, 2010",T20I # 182
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Lauderhill,"May 23, 2010",T20I # 181
New Zealand,Sri Lanka,New Zealand,28 runs,Lauderhill,"May 22, 2010",T20I # 180
West Indies,South Africa,South Africa,1 run,North Sound,"May 20, 2010",T20I # 179
West Indies,South Africa,South Africa,13 runs,North Sound,"May 19, 2010",T20I # 178
Australia,England,England,7 wickets,Bridgetown,"May 16, 2010",T20I # 177
Australia,Pakistan,Australia,3 wickets,Gros Islet,"May 14, 2010",T20I # 176
England,Sri Lanka,England,7 wickets,Gros Islet,"May 13, 2010",T20I # 175
West Indies,Australia,Australia,6 wickets,Gros Islet,"May 11, 2010",T20I # 174
India,Sri Lanka,Sri Lanka,5 wickets,Gros Islet,"May 11, 2010",T20I # 173
England,New Zealand,England,3 wickets,Gros Islet,"May 10, 2010",T20I # 172
Pakistan,South Africa,Pakistan,11 runs,Gros Islet,"May 10, 2010",T20I # 171
Australia,Sri Lanka,Australia,81 runs,Bridgetown,"May 9, 2010",T20I # 170
West Indies,India,West Indies,14 runs,Bridgetown,"May 9, 2010",T20I # 169
England,South Africa,England,39 runs,Bridgetown,"May 8, 2010",T20I # 168
New Zealand,Pakistan,New Zealand,1 run,Bridgetown,"May 8, 2010",T20I # 167
West Indies,Sri Lanka,Sri Lanka,57 runs,Bridgetown,"May 7, 2010",T20I # 166
Australia,India,Australia,49 runs,Bridgetown,"May 7, 2010",T20I # 165
New Zealand,South Africa,South Africa,13 runs,Bridgetown,"May 6, 2010",T20I # 164
England,Pakistan,England,6 wickets,Bridgetown,"May 6, 2010",T20I # 163
Afghanistan,South Africa,South Africa,59 runs,Bridgetown,"May 5, 2010",T20I # 162
Australia,Bangladesh,Australia,27 runs,Bridgetown,"May 5, 2010",T20I # 161
England,Ireland,no result,-,Providence,"May 4, 2010",T20I # 160
New Zealand,Zimbabwe,New Zealand,7 runs,Providence,"May 4, 2010",T20I # 159
West Indies,England,West Indies,8 wickets,Providence,"May 3, 2010",T20I # 158
Sri Lanka,Zimbabwe,Sri Lanka,14 runs,Providence,"May 3, 2010",T20I # 157
Australia,Pakistan,Australia,34 runs,Gros Islet,"May 2, 2010",T20I # 156
India,South Africa,India,14 runs,Gros Islet,"May 2, 2010",T20I # 155
Bangladesh,Pakistan,Pakistan,21 runs,Gros Islet,"May 1, 2010",T20I # 154
Afghanistan,India,India,7 wickets,Gros Islet,"May 1, 2010",T20I # 153
West Indies,Ireland,West Indies,70 runs,Providence,"Apr 30, 2010",T20I # 152
New Zealand,Sri Lanka,New Zealand,2 wickets,Providence,"Apr 30, 2010",T20I # 151
West Indies,Zimbabwe,Zimbabwe,26 runs,Port of Spain,"Feb 28, 2010",T20I # 150
New Zealand,Australia,tied,-,Christchurch,"Feb 28, 2010",T20I # 149
New Zealand,Australia,Australia,6 wickets,Wellington,"Feb 26, 2010",T20I # 148
Australia,West Indies,Australia,8 wickets,Sydney,"Feb 23, 2010",T20I # 147
Australia,West Indies,Australia,38 runs,Hobart,"Feb 21, 2010",T20I # 146
England,Pakistan,Pakistan,4 wickets,Dubai (DICS),"Feb 20, 2010",T20I # 145
England,Pakistan,England,7 wickets,Dubai (DICS),"Feb 19, 2010",T20I # 144
Afghanistan,Ireland,Afghanistan,8 wickets,Dubai (DICS),"Feb 13, 2010",T20I # 143
Ireland,Netherlands,Ireland,65 runs,Dubai (DICS),"Feb 13, 2010",T20I # 142
Afghanistan,Netherlands,Netherlands,4 wickets,Dubai (DICS),"Feb 12, 2010",T20I # 141
Ireland,Scotland,Ireland,37 runs,Dubai (DICS),"Feb 11, 2010",T20I # 140
Kenya,Netherlands,Netherlands,7 wickets,Abu Dhabi,"Feb 11, 2010",T20I # 139
Canada,Kenya,Kenya,9 wickets,Dubai (DICS),"Feb 10, 2010",T20I # 138
Afghanistan,Scotland,Afghanistan,14 runs,Abu Dhabi,"Feb 10, 2010",T20I # 137
Canada,Netherlands,Netherlands,6 wickets,Dubai (DICS),"Feb 9, 2010",T20I # 136
Afghanistan,Ireland,Afghanistan,13 runs,Dubai (DICS),"Feb 9, 2010",T20I # 135
Australia,Pakistan,Australia,2 runs,Melbourne,"Feb 5, 2010",T20I # 134
Kenya,Scotland,Kenya,10 wickets,Nairobi (Gym),"Feb 4, 2010",T20I # 133
Afghanistan,Canada,Afghanistan,5 wickets,Colombo (SSC),"Feb 4, 2010",T20I # 132
New Zealand,Bangladesh,New Zealand,10 wickets,Hamilton,"Feb 3, 2010",T20I # 131
Canada,Ireland,Canada,4 runs,Colombo (SSC),"Feb 3, 2010",T20I # 130
Kenya,Scotland,Kenya,10 wickets,Nairobi (Gym),"Feb 1, 2010",T20I # 129
Afghanistan,Ireland,Ireland,5 wickets,Colombo (PSS),"Feb 1, 2010",T20I # 128
Bangladesh,Pakistan,Pakistan,50 runs,Mirpur,"Nov 29, 2011",T20I # 216
Pakistan,Sri Lanka,Pakistan,5 wickets,Abu Dhabi,"Nov 25, 2011",T20I # 215
India,England,England,6 wickets,Eden Gardens,"Oct 29, 2011",T20I # 214
Zimbabwe,New Zealand,New Zealand,34 runs,Harare,"Oct 17, 2011",T20I # 213
South Africa,Australia,South Africa,3 wickets,Johannesburg,"Oct 16, 2011",T20I # 212
Zimbabwe,New Zealand,New Zealand,10 wickets,Harare,"Oct 15, 2011",T20I # 211
South Africa,Australia,Australia,5 wickets,Cape Town,"Oct 13, 2011",T20I # 210
Bangladesh,West Indies,Bangladesh,3 wickets,Mirpur,"Oct 11, 2011",T20I # 209
England,West Indies,West Indies,25 runs,The Oval,"Sep 25, 2011",T20I # 208
England,West Indies,England,10 wickets,The Oval,"Sep 23, 2011",T20I # 207
Zimbabwe,Pakistan,Pakistan,5 runs,Harare,"Sep 18, 2011",T20I # 206
Zimbabwe,Pakistan,Pakistan,85 runs,Harare,"Sep 16, 2011",T20I # 205
England,India,England,6 wickets,Manchester,"Aug 31, 2011",T20I # 204
Sri Lanka,Australia,Sri Lanka,8 runs,Pallekele,"Aug 8, 2011",T20I # 203
Sri Lanka,Australia,Sri Lanka,35 runs,Pallekele,"Aug 6, 2011",T20I # 202
England,Sri Lanka,Sri Lanka,9 wickets,Bristol,"Jun 25, 2011",T20I # 201
West Indies,India,India,16 runs,Port of Spain,"Jun 4, 2011",T20I # 200
West Indies,Pakistan,West Indies,7 runs,Gros Islet,"Apr 21, 2011",T20I # 199
Australia,England,Australia,4 runs,Melbourne,"Jan 14, 2011",T20I # 198
Australia,England,England,1 wicket,Adelaide,"Jan 12, 2011",T20I # 197
South Africa,India,India,21 runs,Durban,"Jan 9, 2011",T20I # 196
India,Pakistan,India,11 runs,Ahmedabad,"Dec 28, 2012",T20I # 298
South Africa,New Zealand,South Africa,33 runs,Gqeberha,"Dec 26, 2012",T20I # 297
India,Pakistan,Pakistan,5 wickets,Bengaluru,"Dec 25, 2012",T20I # 296
South Africa,New Zealand,New Zealand,8 wickets,East London,"Dec 23, 2012",T20I # 295
India,England,England,6 wickets,Wankhede,"Dec 22, 2012",T20I # 294
South Africa,New Zealand,South Africa,8 wickets,Durban,"Dec 21, 2012",T20I # 293
India,England,India,5 wickets,Pune,"Dec 20, 2012",T20I # 292
Bangladesh,West Indies,West Indies,18 runs,Mirpur,"Dec 10, 2012",T20I # 291
Sri Lanka,New Zealand,no result,-,Pallekele,"Oct 30, 2012",T20I # 290
Sri Lanka,West Indies,West Indies,36 runs,Colombo (RPS),"Oct 7, 2012",T20I # 289
Australia,West Indies,West Indies,74 runs,Colombo (RPS),"Oct 5, 2012",T20I # 288
Sri Lanka,Pakistan,Sri Lanka,16 runs,Colombo (RPS),"Oct 4, 2012",T20I # 287
India,South Africa,India,1 run,Colombo (RPS),"Oct 2, 2012",T20I # 286
Australia,Pakistan,Pakistan,32 runs,Colombo (RPS),"Oct 2, 2012",T20I # 285
Sri Lanka,England,Sri Lanka,19 runs,Pallekele,"Oct 1, 2012",T20I # 284
New Zealand,West Indies,tied,-,Pallekele,"Oct 1, 2012",T20I # 283
India,Pakistan,India,8 wickets,Colombo (RPS),"Sep 30, 2012",T20I # 282
Australia,South Africa,Australia,8 wickets,Colombo (RPS),"Sep 30, 2012",T20I # 281
Sri Lanka,West Indies,Sri Lanka,9 wickets,Pallekele,"Sep 29, 2012",T20I # 280
England,New Zealand,England,6 wickets,Pallekele,"Sep 29, 2012",T20I # 279
Australia,India,Australia,9 wickets,Colombo (RPS),"Sep 28, 2012",T20I # 278
Pakistan,South Africa,Pakistan,2 wickets,Colombo (RPS),"Sep 28, 2012",T20I # 277
England,West Indies,West Indies,15 runs,Pallekele,"Sep 27, 2012",T20I # 276
Sri Lanka,New Zealand,tied,-,Pallekele,"Sep 27, 2012",T20I # 275
Bangladesh,Pakistan,Pakistan,8 wickets,Pallekele,"Sep 25, 2012",T20I # 274
Ireland,West Indies,no result,-,Colombo (RPS),"Sep 24, 2012",T20I # 273
England,India,India,90 runs,Colombo (RPS),"Sep 23, 2012",T20I # 272
New Zealand,Pakistan,Pakistan,13 runs,Pallekele,"Sep 23, 2012",T20I # 271
Australia,West Indies,Australia,17 runs,Colombo (RPS),"Sep 22, 2012",T20I # 270
Sri Lanka,South Africa,South Africa,32 runs,Hambantota,"Sep 22, 2012",T20I # 269
Afghanistan,England,England,116 runs,Colombo (RPS),"Sep 21, 2012",T20I # 268
Bangladesh,New Zealand,New Zealand,59 runs,Pallekele,"Sep 21, 2012",T20I # 267
South Africa,Zimbabwe,South Africa,10 wickets,Hambantota,"Sep 20, 2012",T20I # 266
Afghanistan,India,India,23 runs,Colombo (RPS),"Sep 19, 2012",T20I # 265
Australia,Ireland,Australia,7 wickets,Colombo (RPS),"Sep 19, 2012",T20I # 264
Sri Lanka,Zimbabwe,Sri Lanka,82 runs,Hambantota,"Sep 18, 2012",T20I # 263
England,South Africa,England,28 runs,Birmingham,"Sep 12, 2012",T20I # 262
India,New Zealand,New Zealand,1 run,Chennai,"Sep 11, 2012",T20I # 261
England,South Africa,no result,-,Manchester,"Sep 10, 2012",T20I # 260
Australia,Pakistan,Australia,94 runs,Dubai (DICS),"Sep 10, 2012",T20I # 259
England,South Africa,South Africa,7 wickets,Chester-le-Street,"Sep 8, 2012",T20I # 258
Australia,Pakistan,tied,-,Dubai (DICS),"Sep 7, 2012",T20I # 257
Australia,Pakistan,Pakistan,7 wickets,Dubai (DICS),"Sep 5, 2012",T20I # 256
Sri Lanka,India,India,39 runs,Pallekele,"Aug 7, 2012",T20I # 255
Netherlands,Bangladesh,Netherlands,1 wicket,The Hague,"Jul 26, 2012",T20I # 254
Netherlands,Bangladesh,Bangladesh,8 wickets,The Hague,"Jul 25, 2012",T20I # 253
Bangladesh,Scotland,Scotland,34 runs,The Hague,"Jul 24, 2012",T20I # 252
Ireland,Bangladesh,Bangladesh,2 wickets,Belfast,"Jul 21, 2012",T20I # 251
Ireland,Bangladesh,Bangladesh,1 run,Belfast,"Jul 20, 2012",T20I # 250
Ireland,Bangladesh,Bangladesh,71 runs,Belfast,"Jul 18, 2012",T20I # 249
New Zealand,West Indies,West Indies,61 runs,Lauderhill,"Jul 1, 2012",T20I # 248
New Zealand,West Indies,West Indies,56 runs,Lauderhill,"Jun 30, 2012",T20I # 247
England,West Indies,England,7 wickets,Nottingham,"Jun 24, 2012",T20I # 246
Sri Lanka,Pakistan,Pakistan,23 runs,Hambantota,"Jun 3, 2012",T20I # 245
Sri Lanka,Pakistan,Sri Lanka,37 runs,Hambantota,"Jun 1, 2012",T20I # 244
West Indies,Australia,West Indies,14 runs,Bridgetown,"Mar 30, 2012",T20I # 243
South Africa,India,South Africa,11 runs,Johannesburg,"Mar 30, 2012",T20I # 242
West Indies,Australia,Australia,8 wickets,Gros Islet,"Mar 27, 2012",T20I # 241
Afghanistan,Ireland,Ireland,5 wickets,Dubai (DICS),"Mar 24, 2012",T20I # 240
Canada,Scotland,Scotland,4 wickets,Dubai (DICS),"Mar 23, 2012",T20I # 239
Ireland,Netherlands,Ireland,7 wickets,Dubai (DICS),"Mar 23, 2012",T20I # 238
Canada,Ireland,Ireland,10 wickets,Dubai (DICS),"Mar 22, 2012",T20I # 236
Netherlands,Scotland,Netherlands,3 wickets,ICCA Dubai,"Mar 22, 2012",T20I # 237
Afghanistan,Canada,Afghanistan,41 runs,ICCA Dubai,"Mar 18, 2012",T20I # 234
Ireland,Scotland,Ireland,17 runs,Dubai (DICS),"Mar 18, 2012",T20I # 235
Afghanistan,Netherlands,Afghanistan,4 wickets,Dubai (DICS),"Mar 14, 2012",T20I # 233
Ireland,Kenya,Ireland,10 wickets,Dubai (DICS),"Mar 14, 2012",T20I # 232
Canada,Netherlands,Netherlands,42 runs,Dubai (DICS),"Mar 13, 2012",T20I # 230
Kenya,Scotland,Scotland,14 runs,ICCA Dubai,"Mar 13, 2012",T20I # 231
England,Pakistan,England,5 runs,Abu Dhabi,"Feb 27, 2012",T20I # 229
England,Pakistan,England,38 runs,Dubai (DICS),"Feb 25, 2012",T20I # 228
Kenya,Ireland,Ireland,2 runs,Mombasa,"Feb 24, 2012",T20I # 227
England,Pakistan,Pakistan,8 runs,Dubai (DICS),"Feb 23, 2012",T20I # 226
Kenya,Ireland,Ireland,8 wickets,Mombasa,"Feb 23, 2012",T20I # 225
Kenya,Ireland,Ireland,6 wickets,Mombasa,"Feb 22, 2012",T20I # 224
New Zealand,South Africa,South Africa,3 runs,Auckland,"Feb 22, 2012",T20I # 223
New Zealand,South Africa,South Africa,8 wickets,Hamilton,"Feb 19, 2012",T20I # 222
New Zealand,South Africa,New Zealand,6 wickets,Wellington,"Feb 17, 2012",T20I # 221
New Zealand,Zimbabwe,New Zealand,5 wickets,Hamilton,"Feb 14, 2012",T20I # 220
New Zealand,Zimbabwe,New Zealand,7 wickets,Auckland,"Feb 11, 2012",T20I # 219
Australia,India,India,8 wickets,Melbourne,"Feb 3, 2012",T20I # 218
Australia,India,Australia,31 runs,Sydney,"Feb 1, 2012",T20I # 217
Pakistan,Sri Lanka,Sri Lanka,24 runs,Dubai (DICS),"Dec 13, 2013",T20I # 351
Pakistan,Sri Lanka,Pakistan,3 wickets,Dubai (DICS),"Dec 11, 2013",T20I # 350
Afghanistan,Pakistan,Pakistan,6 wickets,Sharjah,"Dec 8, 2013",T20I # 349
Afghanistan,Ireland,Ireland,68 runs,Abu Dhabi,"Nov 30, 2013",T20I # 348
Netherlands,Scotland,Netherlands,8 wickets,Abu Dhabi,"Nov 28, 2013",T20I # 347
Canada,Kenya,Kenya,21 runs,Sharjah,"Nov 26, 2013",T20I # 346
Afghanistan,Kenya,Afghanistan,34 runs,Sharjah,"Nov 24, 2013",T20I # 345
Kenya,Netherlands,Netherlands,29 runs,ICCA Dubai,"Nov 23, 2013",T20I # 344
South Africa,Pakistan,Pakistan,6 runs,Cape Town,"Nov 22, 2013",T20I # 343
Netherlands,Scotland,Scotland,15 runs,ICCA Dubai,"Nov 22, 2013",T20I # 342
Sri Lanka,New Zealand,Sri Lanka,8 wickets,Pallekele,"Nov 21, 2013",T20I # 341
South Africa,Pakistan,South Africa,4 runs,Johannesburg,"Nov 20, 2013",T20I # 340
Kenya,Scotland,Kenya,92 runs,ICCA Dubai,"Nov 19, 2013",T20I # 339
